‘»Œ12;0;3;2;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;-1;0;0;-1;0;0;3;0;0;0;0;0;4;0;0;0;0;-1;0;0;0;0;0;3;0;0;3;5;4;0;0;0;3;0;5;-1;0;0;0;0;0;0;0;0;4;3;0;0;4;0;0;4;0;-1;0;0;-1;-1;0;0;4;0;4;0;0;4;0;0;0;0;0;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ13;0;0;0;0;3;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;-1;0;2;0;0;0;0;0;0;0;4;4;0;0;0;2;0;3;-1;0;0;0;0;-1;-1;-1;0;3;3;0;0;5;0;0;2;0;-1;0;0;0;-1;0;0;4;0;4;0;0;3;0;0;-1;3;0;-1;2;0;3;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ14;0;0;4;0;2;0;-1;2;0;2;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;2;0;-1;0;0;0;3;0;0;0;0;-1;0;0;0;3;0;0;0;0;3;-1;0;0;-1;-1;-1;0;-1;-1;-1;0;-1;0;-1;-1;-1;0;3;3;0;5;-1;0;-1;4;2;-1;0;0;0;-1;0;-1;-1;0;0;0;0;3;0;0;-1;-1;2;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ15;0;0;0;0;-1;0;-1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;2;2;0;0;0;0;0;4;0;0;0;0;-1;0;0;0;0;0;3;0;0;3;5;4;0;0;0;4;0;5;-1;0;-1;-1;0;-1;0;-1;0;4;3;0;0;4;0;0;5;4;-1;0;0;0;2;0;0;4;4;0;0;0;4;0;0;0;2;0;-1;3;0;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ16;0;0;0;0;3;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;-1;0;2;0;0;0;0;0;0;3;4;3;0;0;-1;3;0;3;-1;0;-1;-1;-1;0;0;-1;0;4;3;0;0;5;0;0;5;0;-1;0;0;0;3;0;0;4;0;2;4;4;4;-1;-1;0;3;0;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ17;0;0;4;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;3;0;0;0;4;0;4;3;0;0;0;-1;0;2;-1;0;0;0;0;0;3;3;0;0;0;0;3;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;2;0;0;3;0;0;4;2;-1;0;0;0;2;0;0;3;4;0;0;0;3;0;0;0;3;0;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ18;0;0;0;0;3;0;-1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;-1;0;0;0;0;0;3;0;0;3;-1;0;0;0;0;3;0;3;-1;0;0;0;-1;-1;-1;-1;-1;0;-1;4;0;4;0;0;4;0;-1;-1;0;-1;-1;0;0;4;0;3;0;0;0;-1;0;-1;2;0;-1;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
‘»Œ19;0;0;0;0;3;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;3;0;0;0;-1;-1;-1;0;-1;-1;0;-1;-1;-1;0;-1;0;-1;-1;0;3;4;0;0;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;-1;0;-1;-1;-1;-1;-1;0;-1;0;-1;3;-1;-1;-1;0;0;-1;0;-1;-1;0;3;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;
‘»Œ20;0;0;0;0;-1;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0;-1;0;0;-1;0;-1;0;2;-1;-1;0;0;3;4;0;0;0;0;3;0;5;-1;-1;-1;0;-1;0;0;-1;0;4;3;0;0;5;0;-1;-1;0;-1;0;-1;0;3;0;0;-1;0;0;-1;0;4;0;-1;-1;3;0;-1;-1;3;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;
‘»Œ21;0;0;0;0;0;0;-1;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;-1;0;0;0;2;0;0;0;0;3;3;0;0;0;0;-1;0;3;-1;0;0;0;0;0;0;-1;0;3;3;0;0;4;0;0;4;-1;-1;-1;-1;-1;-1;0;0;4;0;0;0;0;3;0;0;0;3;0;-1;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
